受注日,受注番号,受注行番号,会計年月,事業所コード,事業所名,部門コード,部門名,担当者コード,担当者名,得意先コード,得意先名,発注者,受注区分,出荷売上区分,出荷売上区分名,納入先コード,納入先名,納入先正式名,納入先郵便番号1,納入先郵便番号2,納入先住所1,納入先住所2,納入先電話番号1-1,納入先電話番号1-2,納入先電話番号1-3,納入先電話番号2-1,納入先電話番号2-2,納入先電話番号2-3,出荷日,受注納期,売上予定日,請求先コード,請求先名,倉庫コード,倉庫名,出荷先倉庫コード,出荷先倉庫名,配送業者コード,配送業者名,納入区分,納入区分名,便指定,便指定名,ｾｯﾃｨﾝｸﾞ,ｾｯﾃｨﾝｸﾞ名,受注伝票摘要,請求備考,伝票得意先注文番号,専伝番号,案件番号,伝票単位出荷,品種分類コード,品種分類名,品種コード,品種名,HUKLA品番,仕様,ピース,パーツ,木色,張地１,張地２,特区,商品コード,商品名,規格,O/P区分,O/P区分名,製造事業所コード,製造事業所名,商品ランク,商品ランク名,数量,単位名,商品消費税内外区分,上代単価,掛率,仮単価区分,売上単価,売上金額,売上消費税,原価金額,粗利金額,受注明細摘要,請求先消費税内外区分,明細得意先注文番号,分析集計1,分析集計1名,分析集計2,分析集計2名,分析集計3,分析集計3名,請求区分,帳端区分,回収予定日,サブシステム伝票番号,サブシステム行番号,見積番号,見積番号枝番,見積行番号,債権科目区分,債権科目区分名,セグメントコード１,セグメントコード１名,セグメントコード２,セグメントコード２名,セグメントコード３,セグメントコード３名,得意先部門CD,得意先部門名,部門グループ2分類コード,部門グループ2分類名,分析３コード,分析３コード名,分析４コード,分析４コード名,分析５コード,分析５コード名,出荷指示ステータス,出荷指示済数,出荷ステータス,出荷済数,売上ステータス,売上済数,承認ステータス,取消ステータス
2021/02/03,JUC000020840,1,2021/02,100,日本フクラ,0324,名古屋専門店,0800,谷田 清水,038500,イノアック関連（名古屋）,,倉出受注,0,売上,,,,,,,,,,,,,,2021/03/25,2055/05/05,2021/03/25,038500,イノアック関連（名古屋）,A10000,南濃倉庫,,,31,日進陸運㈱,03,直送,,,1,あり,池田工場分,,,,,,1,製品,0016,ベッド,CHY038,S,10F,,,SN/03,,,CHY038  0000002,CHY038 ｼﾝｸﾞﾙ,CHY038  S  10F          SN/03,2,プロパー,,,0,A,4,ﾋﾟｰｽ,外税,80000,0,正単価,23500,94000,9400,77776,16224,3/11ETDで依頼中,外税,,,,,,,,締請求,今回,2021/04/30,,0,,,,1130,売掛金,,,,,,,0324,名古屋専門店,24,専門店,,,,,,,,0,,0,,0,承認済,
2021/02/03,JUC000020840,2,2021/02,100,日本フクラ,0324,名古屋専門店,0800,谷田 清水,038500,イノアック関連（名古屋）,,倉出受注,0,売上,,,,,,,,,,,,,,2021/03/25,2055/05/05,2021/03/25,038500,イノアック関連（名古屋）,A10000,南濃倉庫,,,31,日進陸運㈱,03,直送,,,1,あり,池田工場分,,,,,,2,商品,0090,その他,0003,,,,,,,,0003    0000001,送料,0003,2,プロパー,,,0,A,1,ﾋﾟｰｽ,外税,0,0,正単価,20000,20000,2000,0,20000,,外税,,,,,,,,締請求,今回,2021/04/30,,0,,,,1130,売掛金,,,,,,,0324,名古屋専門店,24,専門店,,,,,,,,0,,0,,0,承認済,
2021/02/03,JUC000020841,1,2021/02,100,日本フクラ,0127,東京ハウジング,0941,黄地 由紀絵,016280,東京セキスイファミエス/ﾘﾉﾍﾞｰｼｮﾝ支店,高野,倉出受注,0,売上,10108,(株）オレンジライン,(株）オレンジライン,336,0026,埼玉県さいたま市南区辻2-12-3,荷受時間　10:00～15:00,048,710,8888,,,,2021/02/18,2021/02/20,2021/02/18,016280,東京セキスイファミエス,A10000,南濃倉庫,,,12,㈱三協運輸サービス越谷,02,センター入れ,,,2,なし,3UG　吉祥寺店様　3月,吉祥寺店様,,,,,2,商品,0014,ダイニングテーブル,D528,,200,T,GY,,,,D528    0000212,ｶｽﾄｰﾙD ﾀﾞｲﾆﾝｸﾞﾃｰﾌﾞﾙT,D528       200   T  GY,2,プロパー,,,0,A,1,ﾋﾟｰｽ,外税,135000,60,正単価,81000,81000,8100,44500,36500,№19815切替,外税,,,,,,,,締請求,今回,2021/03/20,,0,,,,1130,売掛金,,,,,,,0127,東京ハウジング,27,ハウジング,,,,,,,,0,,0,,0,承認済,
2021/02/03,JUC000020841,2,2021/02,100,日本フクラ,0127,東京ハウジング,0941,黄地 由紀絵,016280,東京セキスイファミエス/ﾘﾉﾍﾞｰｼｮﾝ支店,高野,倉出受注,0,売上,10108,(株）オレンジライン,(株）オレンジライン,336,0026,埼玉県さいたま市南区辻2-12-3,荷受時間　10:00～15:00,048,710,8888,,,,2021/02/18,2021/02/20,2021/02/18,016280,東京セキスイファミエス,A10000,南濃倉庫,,,12,㈱三協運輸サービス越谷,02,センター入れ,,,2,なし,3UG　吉祥寺店様　3月,吉祥寺店様,,,,,2,商品,0014,ダイニングテーブル,D528,,,F,,,,,D528    0000091,ｶｽﾄｰﾙD ﾀﾞｲﾆﾝｸﾞﾃｰﾌﾞﾙF,D528             F,2,プロパー,,,0,A,1,ﾋﾟｰｽ,外税,74000,60,正単価,44400,44400,4440,28627,15773,,外税,,,,,,,,締請求,今回,2021/03/20,,0,,,,1130,売掛金,,,,,,,0127,東京ハウジング,27,ハウジング,,,,,,,,0,,0,,0,承認済,
2021/02/03,JUC000020841,3,2021/02,100,日本フクラ,0127,東京ハウジング,0941,黄地 由紀絵,016280,東京セキスイファミエス/ﾘﾉﾍﾞｰｼｮﾝ支店,高野,倉出受注,0,売上,10108,(株）オレンジライン,(株）オレンジライン,336,0026,埼玉県さいたま市南区辻2-12-3,荷受時間　10:00～15:00,048,710,8888,,,,2021/02/18,2021/02/20,2021/02/18,016280,東京セキスイファミエス,A10000,南濃倉庫,,,12,㈱三協運輸サービス越谷,02,センター入れ,,,2,なし,3UG　吉祥寺店様　3月,吉祥寺店様,,,,,1,製品,0013,ダイニングチェア,D528,,10,,GY,18/5162,,,D528    0000289,ｶｽﾄｰﾙD ｱｰﾑﾚｽﾁｪｱ,D528       10       GY  18/5162,1,オーダー,100,日本フクラ,0,A,6,ﾋﾟｰｽ,外税,80000,60,正単価,48000,288000,28800,177774,110226,UG,外税,,,,,,,,締請求,今回,2021/03/20,,0,,,,1130,売掛金,,,,,,,0127,東京ハウジング,27,ハウジング,,,,,,,,0,,0,,0,承認済,
2021/02/03,JUC000020842,1,2021/02,100,日本フクラ,0524,大阪専門店,0310,峯芝 誠,052301,綛谷家具高島屋京都店,徳田,倉出受注,0,売上,10910,ＫＲＣ,ＫＲＣ,559,0031,大阪府大阪市住之江区南港東5-2-10,,06,6614,1814,,,,2021/02/25,2021/03/01,2021/02/25,052300,綛谷家具,A10000,南濃倉庫,,,53,朝日町運輸倉庫株式会社,02,センター入れ,,,2,なし,1UG　京都市北区　山本様/30G大島様扱い　担当：井ノ崎様,山本様,3570,,,,1,製品,0011,ソファ,T725,E,03,,DB,38/2690,,,T725    0003268,ﾌﾞﾙﾉ 3Pｿﾌｧ,T725    E  03       DB  38/2690,1,オーダー,100,日本フクラ,0,A,1,ﾋﾟｰｽ,外税,275000,47,正単価,129250,129250,12925,101851,27399,UG,外税,3570,,,,,,,締請求,今回,2021/04/20,,0,,,,1130,売掛金,,,,,,,0521,大阪百貨店,21,百貨店,,,,,,,,0,,0,,0,承認済,
2021/02/03,JUC000020842,2,2021/02,100,日本フクラ,0524,大阪専門店,0310,峯芝 誠,052301,綛谷家具高島屋京都店,徳田,倉出受注,0,売上,10910,ＫＲＣ,ＫＲＣ,559,0031,大阪府大阪市住之江区南港東5-2-10,,06,6614,1814,,,,2021/02/25,2021/03/01,2021/02/25,052300,綛谷家具,A10000,南濃倉庫,,,53,朝日町運輸倉庫株式会社,02,センター入れ,,,2,なし,1UG　京都市北区　山本様/30G大島様扱い　担当：井ノ崎様,山本様,3570,,,,1,製品,0011,ソファ,T725,E,01,,DB,38/2690,,,T725    0003269,ﾌﾞﾙﾉ 1Pｿﾌｧ,T725    E  01       DB  38/2690,1,オーダー,100,日本フクラ,0,A,1,ﾋﾟｰｽ,外税,171000,47,正単価,80370,80370,8037,63333,17037,,外税,3570,,,,,,,締請求,今回,2021/04/20,,0,,,,1130,売掛金,,,,,,,0521,大阪百貨店,21,百貨店,,,,,,,,0,,0,,0,承認済,
2021/02/03,JUC000020843,1,2021/02,100,日本フクラ,0124,東京専門店,0363,岡田 憲和,012346,島忠ホームズ仙川店,瀬川,倉出受注,0,売上,10649,(株）島忠　東村山配送センター　　　　811,(株）島忠　東村山配送センター　　　　811,189,0011,東京都東村山市恩多町5-44-1,,042,397,1257,,,,2021/02/24,2055/05/05,2021/02/24,012300,島忠,A10000,南濃倉庫,,,13,㈱三協運輸サービス神奈川,02,センター入れ,01,１便,2,なし,◆2/27着◆1UG　長谷川　俊樹(3/1),長谷川　俊樹,3139010063,,,,1,製品,0011,ソファ,T517,N,20,,,5788,,,T517    0002157,ｸｵｰﾄﾞ 2Pｱｰﾑﾚｽｿﾌｧ,T517    N  20           5788,1,オーダー,100,日本フクラ,0,A,1,ﾋﾟｰｽ,外税,381000,54,正単価,205740,205740,20574,0,205740,ウルトラスエード,外税,3139010063,,,,,,,締請求,今回,2021/03/25,,0,,,,1130,売掛金,,,,,,,0124,東京専門店,24,専門店,,,,,,,,0,,0,,0,承認済,
2021/02/03,JUC000020844,1,2021/02,100,日本フクラ,0701,ＯＥＭ,9901,ＯＥＭ,071001,コクヨ（OEM）,,倉出受注,0,売上,10143,(株）ｺｸﾖﾛｼﾞﾃﾑ藤原配送ｾﾝﾀｰ,(株）ｺｸﾖﾛｼﾞﾃﾑ藤原配送ｾﾝﾀｰ,511,0524,三重県いなべ市藤原町山口433-188,荷受)AM8:30～15:00迄,0594,46,4740,,,,2021/04/06,2021/04/06,2021/04/06,071001,コクヨ（OEM）,A10000,南濃倉庫,,,67,倉庫渡しその他,05,倉庫渡し,,,2,なし,,,,,,,2,商品,0090,その他,SNP,N,TSQ,SU,,GN65,KOKUYO,,SNP     0000121,ｲﾝﾌﾚｰﾑ W5四角内外ﾊﾟﾈﾙ,SNP     N  TSQ   SU     GN65   KOKUYO,1,オーダー,100,日本フクラ,0,A,1,ﾋﾟｰｽ,外税,0,0,正単価,55886,55886,5588,50042,5844,,外税,,,,,,,,締請求,今回,2021/05/15,,0,,,,1130,売掛金,,,,,,,0701,ＯＥＭ,71,ＯＥＭ,,,,,,,,0,,0,,0,承認済,
2021/02/03,JUC000020845,1,2021/02,100,日本フクラ,0701,ＯＥＭ,9901,ＯＥＭ,071001,コクヨ（OEM）,,倉出受注,0,売上,10143,(株）ｺｸﾖﾛｼﾞﾃﾑ藤原配送ｾﾝﾀｰ,(株）ｺｸﾖﾛｼﾞﾃﾑ藤原配送ｾﾝﾀｰ,511,0524,三重県いなべ市藤原町山口433-188,荷受)AM8:30～15:00迄,0594,46,4740,,,,2021/03/12,2021/03/12,2021/03/12,071001,コクヨ（OEM）,A10000,南濃倉庫,,,67,倉庫渡しその他,05,倉庫渡し,,,2,なし,"                      JR東日本",,,,,,2,商品,0090,その他,SNP,,TCJ16,SU,,GNB5,KOKUYO,,SNP     0000238,ｲﾝﾌﾚｰﾑ J字(H1650) 面材 外内ｾｯﾄ,SNP        TCJ16 SU     GNB5    KOKUYO,1,オーダー,100,日本フクラ,0,A,4,ﾋﾟｰｽ,外税,0,0,正単価,28504,114016,11401,103844,10172,,外税,,,,,,,,締請求,今回,2021/04/15,,0,,,,1130,売掛金,,,,,,,0701,ＯＥＭ,71,ＯＥＭ,,,,,,,,0,,0,,0,承認済,
