受注日,受注番号,受注行番号,会計年月,事業所コード,事業所名,部門コード,部門名,担当者コード,担当者名,得意先コード,得意先名,発注者,受注区分,出荷売上区分,出荷売上区分名,納入先コード,納入先名,納入先正式名,納入先郵便番号1,納入先郵便番号2,納入先住所1,納入先住所2,納入先電話番号1-1,納入先電話番号1-2,納入先電話番号1-3,納入先電話番号2-1,納入先電話番号2-2,納入先電話番号2-3,出荷日,受注納期,売上予定日,請求先コード,請求先名,倉庫コード,倉庫名,出荷先倉庫コード,出荷先倉庫名,配送業者コード,配送業者名,納入区分,納入区分名,便指定,便指定名,ｾｯﾃｨﾝｸﾞ,ｾｯﾃｨﾝｸﾞ名,受注伝票摘要,請求備考,伝票得意先注文番号,専伝番号,案件番号,伝票単位出荷,品種分類コード,品種分類名,品種コード,品種名,HUKLA品番,仕様,ピース,パーツ,木色,張地１,張地２,特区,商品コード,商品名,規格,O/P区分,O/P区分名,製造事業所コード,製造事業所名,商品ランク,商品ランク名,数量,単位名,商品消費税内外区分,上代単価,掛率,仮単価区分,売上単価,売上金額,売上消費税,原価金額,粗利金額,受注明細摘要,請求先消費税内外区分,明細得意先注文番号,分析集計1,分析集計1名,分析集計2,分析集計2名,分析集計3,分析集計3名,請求区分,帳端区分,回収予定日,サブシステム伝票番号,サブシステム行番号,見積番号,見積番号枝番,見積行番号,債権科目区分,債権科目区分名,セグメントコード１,セグメントコード１名,セグメントコード２,セグメントコード２名,セグメントコード３,セグメントコード３名,得意先部門CD,得意先部門名,部門グループ2分類コード,部門グループ2分類名,分析３コード,分析３コード名,分析４コード,分析４コード名,分析５コード,分析５コード名,出荷指示ステータス,出荷指示済数,出荷ステータス,出荷済数,売上ステータス,売上済数,承認ステータス,取消ステータス
2021/04/20,JUC000024678,1,2021/04,100,日本フクラ,0151,HUKLA大崎,9105,諸口座,019800,営業企画諸口,,委託返品,1,出荷,999,株式会社　テレフィット　御中　辻様宛,株式会社　テレフィット　御中　辻様宛,214,0006,神奈川県川崎市多摩区菅仙谷3-20-1,生田スタジオ内,090,5796,9068,050,3135,9345,2021/04/21,2021/04/21,,018799,東京統括（社員購入・企画）,A10051,南濃大阪,019800,営業企画諸口,13,㈱三協運輸サービス神奈川,03,直送,,,1,あり,【ＴＶパブリシティ様分】　4/27帰り便　,テレフィット,,,,,1,製品,0011,ソファ,T521,1H,01,,BZ,48/2402,BO,,T521    0000011,ｴﾀｰﾅ 1Pｿﾌｧ(H),T521    1H 01       BZ  48/2402 BO,2,プロパー,,,1,B,-1,ﾋﾟｰｽ,外税,0,0,正単価,0,0,0,0,0,,外税,,,,,,,,締請求,今回,2020/12/31,,0,,,,1130,売掛金,,,,,,,0124,東京専門店,24,専門店,,,,,,,,0,済,-1,,0,承認済,
2021/04/20,JUC000024680,1,2021/04,100,日本フクラ,0151,HUKLA大崎,9105,諸口座,019800,営業企画諸口,,委託返品,1,出荷,999,株式会社　テレフィット　御中　辻様宛,株式会社　テレフィット　御中　辻様宛,214,0006,神奈川県川崎市多摩区菅仙谷3-20-1,生田スタジオ内,090,5796,9068,050,3135,9345,2021/04/21,2021/04/21,,018799,東京統括（社員購入・企画）,A10005,南濃ショールーム,019800,営業企画諸口,13,㈱三協運輸サービス神奈川,03,直送,,,1,あり,【ＴＶパブリシティ様分】　　※№18720同送　4/27帰り便,テレフィット,,,,,1,製品,0011,ソファ,T521,1H,01,,BZ,48/2402,BO,,T521    0000011,ｴﾀｰﾅ 1Pｿﾌｧ(H),T521    1H 01       BZ  48/2402 BO,2,プロパー,,,1,B,-1,ﾋﾟｰｽ,外税,0,0,正単価,0,0,0,0,0,,外税,,,,,,,,締請求,今回,2020/12/31,,0,,,,1130,売掛金,,,,,,,0124,東京専門店,24,専門店,,,,,,,,0,済,-1,,0,承認済,
2021/04/20,JUC000024680,2,2021/04,100,日本フクラ,0151,HUKLA大崎,9105,諸口座,019800,営業企画諸口,,委託返品,1,出荷,999,株式会社　テレフィット　御中　辻様宛,株式会社　テレフィット　御中　辻様宛,214,0006,神奈川県川崎市多摩区菅仙谷3-20-1,生田スタジオ内,090,5796,9068,050,3135,9345,2021/04/21,2021/04/21,,018799,東京統括（社員購入・企画）,A10005,南濃ショールーム,019800,営業企画諸口,13,㈱三協運輸サービス神奈川,03,直送,,,1,あり,【ＴＶパブリシティ様分】　　※№18720同送　4/27帰り便,テレフィット,,,,,1,製品,0013,ダイニングチェア,F780,B,832,,BW,18/3929,,,F780    0000294,ｴｾﾗ 肘付きｺｰﾅｰｿﾌｧ,F780    B  832      BW  18/3929,2,プロパー,,,1,B,-1,ﾋﾟｰｽ,外税,0,0,正単価,0,0,0,0,0,,外税,,,,,,,,締請求,今回,2020/12/31,,0,,,,1130,売掛金,,,,,,,0124,東京専門店,24,専門店,,,,,,,,0,済,-1,,0,承認済,
2021/04/20,JUC000024681,1,2021/04,100,日本フクラ,0151,HUKLA大崎,9105,諸口座,019800,営業企画諸口,,委託返品,1,出荷,999,株式会社　テレフィット　御中　辻様宛,株式会社　テレフィット　御中　辻様宛,214,0006,神奈川県川崎市多摩区菅仙谷3-20-1,生田スタジオ内,090,5796,9068,050,3135,9345,2021/04/21,2021/04/21,,018799,東京統括（社員購入・企画）,A10011,南濃東京店頭,019800,営業企画諸口,13,㈱三協運輸サービス神奈川,03,直送,,,1,あり,【ＴＶパブリシティ様分】　　※№18720同送　4/27帰り便,テレフィット,,,,,1,製品,0012,リビングテーブル,ELT001,N,1010,,GS,,,A,ELT001  0000049,ELT001 ｽｸｴｱｾﾝﾀｰﾃｰﾌﾞﾙ,ELT001  N  1010     GS                A,2,プロパー,,,1,B,-1,ﾋﾟｰｽ,外税,0,0,正単価,0,0,0,0,0,,外税,,,,,,,,締請求,今回,2020/12/31,,0,,,,1130,売掛金,,,,,,,0124,東京専門店,24,専門店,,,,,,,,0,済,-1,,0,承認済,
2021/04/20,JUC000024681,2,2021/04,100,日本フクラ,0151,HUKLA大崎,9105,諸口座,019800,営業企画諸口,,委託返品,1,出荷,999,株式会社　テレフィット　御中　辻様宛,株式会社　テレフィット　御中　辻様宛,214,0006,神奈川県川崎市多摩区菅仙谷3-20-1,生田スタジオ内,090,5796,9068,050,3135,9345,2021/04/21,2021/04/21,,018799,東京統括（社員購入・企画）,A10011,南濃東京店頭,019800,営業企画諸口,13,㈱三協運輸サービス神奈川,03,直送,,,1,あり,【ＴＶパブリシティ様分】　　※№18720同送　4/27帰り便,テレフィット,,,,,1,製品,0019,クッション,CU,FN,4545,,,28/2525,,,CU      0000901,CUｸｯｼｮﾝ 45F,CU      FN 4545         28/2525,2,プロパー,,,1,B,-1,ﾋﾟｰｽ,外税,0,0,正単価,0,0,0,0,0,,外税,,,,,,,,締請求,今回,2020/12/31,,0,,,,1130,売掛金,,,,,,,0124,東京専門店,24,専門店,,,,,,,,0,済,-1,,0,承認済,
2021/04/20,JUC000024682,1,2021/04,100,日本フクラ,0151,HUKLA大崎,9105,諸口座,019800,営業企画諸口,,委託返品,1,出荷,999,株式会社　テレフィット　御中　辻様宛,株式会社　テレフィット　御中　辻様宛,214,0006,神奈川県川崎市多摩区菅仙谷3-20-1,生田スタジオ内,090,5796,9068,050,3135,9345,2021/04/21,2021/04/21,,018799,東京統括（社員購入・企画）,A10000,南濃倉庫,019800,営業企画諸口,13,㈱三協運輸サービス神奈川,03,直送,,,1,あり,【ＴＶパブリシティ様分】　　　4/27帰り便,テレフィット,,,,,1,製品,0013,ダイニングチェア,F780,,832,C,,28/4162,,,F780    0000415,ｴｾﾗ 肘付ｺｰﾅｰｿﾌｧ ｶﾊﾞｰ,F780       832   C      28/4162,2,プロパー,100,日本フクラ,0,A,-1,ﾋﾟｰｽ,外税,0,0,正単価,0,0,0,0,0,ｶﾊﾞｰのみ　【撮影用/来週まで裁断待ち】,外税,,,,,,,,締請求,今回,2020/12/31,,0,,,,1130,売掛金,,,,,,,0124,東京専門店,24,専門店,,,,,,,,0,済,-1,,0,承認済,
2021/04/20,JUC000024682,2,2021/04,100,日本フクラ,0151,HUKLA大崎,9105,諸口座,019800,営業企画諸口,,委託返品,1,出荷,999,株式会社　テレフィット　御中　辻様宛,株式会社　テレフィット　御中　辻様宛,214,0006,神奈川県川崎市多摩区菅仙谷3-20-1,生田スタジオ内,090,5796,9068,050,3135,9345,2021/04/21,2021/04/21,,018799,東京統括（社員購入・企画）,A10000,南濃倉庫,019800,営業企画諸口,13,㈱三協運輸サービス神奈川,03,直送,,,1,あり,【ＴＶパブリシティ様分】　　　4/27帰り便,テレフィット,,,,,1,製品,0019,クッション,CU,FN,4545,,,28/2525,,,CU      0000901,CUｸｯｼｮﾝ 45F,CU      FN 4545         28/2525,2,プロパー,100,日本フクラ,0,A,-1,ﾋﾟｰｽ,外税,0,0,正単価,0,0,0,0,0,【撮影用/来週まで裁断待ち】,外税,,,,,,,,締請求,今回,2020/12/31,,0,,,,1130,売掛金,,,,,,,0124,東京専門店,24,専門店,,,,,,,,0,済,-1,,0,承認済,
2021/04/20,JUC000024689,1,2021/04,100,日本フクラ,0701,ＯＥＭ,9901,ＯＥＭ,A10000,南濃倉庫,,委託出荷,1,出荷,00009,日本フクラ㈱南濃工場,日本フクラ㈱南濃工場,503,0536,岐阜県海津市南濃町吉田240,,0584,56,1731,,,,2021/05/18,2055/05/05,,A00000,倉庫,A10000,南濃倉庫,A10000,南濃倉庫,67,倉庫渡しその他,05,倉庫渡し,,,2,なし,営業在庫,営業在庫,,,,,1,製品,0017,マットレス,HFR,E,10M,,,,,,HFR     0000008,ﾊｲﾊﾟｰﾌﾚｯｸｽ ﾘﾊﾞｰｼﾌﾞﾙ ﾏｯﾄﾚｽ S,HFR     E  10M,1,オーダー,100,日本フクラ,0,A,3,ﾋﾟｰｽ,外税,0,0,正単価,0,0,0,0,0,営業在庫分,外税,,,,,,,,締請求,今回,2021/05/31,,0,,,,1130,売掛金,,,,,,,0701,ＯＥＭ,91,その他,,,,,,,,0,,0,,0,承認済,
2021/04/20,JUC000024699,1,2021/04,100,日本フクラ,0151,HUKLA大崎,9131,HUKLA大崎,017100,ＨＵＫＬＡ大崎,早川,倉出受注,0,売上,999,山崎　進様,山崎　進様,181,0013,東京都三鷹市下連雀5-1-1-167,ﾌﾟﾗｳﾄﾞｼﾃｨ吉祥寺,090,2636,9831,,,,2021/05/12,2021/05/14,2021/05/12,017100,ＨＵＫＬＡ大崎,A10000,南濃倉庫,,,62,佐川急便,06,混載,17,19時,2,なし,5/14午後18時～21時指定,山崎　進様,,C,,,1,製品,0019,クッション,CU,N,4040,C,,28/4105,,,CU      0001725,CUｸｯｼｮﾝｶﾊﾞｰ,CU      N  4040  C      28/4105,1,オーダー,100,日本フクラ,0,A,1,ﾋﾟｰｽ,外税,8300,100,正単価,8300,8300,830,3074,5226,ｶﾊﾞｰのみ,外税,,,,,,,,締請求,今回,2021/06/30,,0,,,,1130,売掛金,,,,,,,0151,ＨＵＫＬＡ大崎,51,直販,,,,,,,済,1,,0,,0,承認済,
2021/04/20,JUC000024699,2,2021/04,100,日本フクラ,0151,HUKLA大崎,9131,HUKLA大崎,017100,ＨＵＫＬＡ大崎,早川,倉出受注,0,売上,999,山崎　進様,山崎　進様,181,0013,東京都三鷹市下連雀5-1-1-167,ﾌﾟﾗｳﾄﾞｼﾃｨ吉祥寺,090,2636,9831,,,,2021/05/12,2021/05/14,2021/05/12,017100,ＨＵＫＬＡ大崎,A10000,南濃倉庫,,,62,佐川急便,06,混載,17,19時,2,なし,5/14午後18時～21時指定,山崎　進様,,C,,,1,製品,0019,クッション,CU,N,4545,C,,28/4105,,,CU      0001726,CUｸｯｼｮﾝ 45 ｶﾊﾞｰ,CU      N  4545  C      28/4105,1,オーダー,100,日本フクラ,0,A,1,ﾋﾟｰｽ,外税,8300,100,正単価,8300,8300,830,3074,5226,ｶﾊﾞｰのみ,外税,,,,,,,,締請求,今回,2021/06/30,,0,,,,1130,売掛金,,,,,,,0151,ＨＵＫＬＡ大崎,51,直販,,,,,,,済,1,,0,,0,承認済,
